TABLA 1;;;TABLA 2;;;;;;;;;;;;;;;;
99;;;349;;;;;;;;;;;;;;;;
0;1;39;1;1;2;;;;;;;;;;;;;;
1;40;1;2;5;3;;;;;;;;;;;;;;
2;41;1;3;13;5;;;;;;;;;;;;;;
3;42;1;4;26;6;;;;;;;;;;;;;;
4;43;1;5;29;9;;;;;;;;;;;;;;
5;44;1;6;35;12;;;;;;;;;;;;;;
6;45;2;7;39;16;;;;;;;;;;;;;;
7;47;1;8;45;17;;;;;;;;;;;;;;
8;48;1;9;49;19;;;;;;;;;;;;;;
9;49;1;10;56;20;;;;;;;;;;;;;;
10;50;1;11;95;21;;;;;;;;;;;;;;
11;51;1;12;60;23;;;;;;;;;;;;;;
12;52;2;13;71;28;;;;;;;;;;;;;;
13;54;2;14;71;29;;;;;;;;;;;;;;
14;56;1;15;71;30;;;;;;;;;;;;;;
15;57;1;16;71;31;;;;;;;;;;;;;;
16;58;1;17;71;32;;;;;;;;;;;;;;
17;59;1;18;71;33;;;;;;;;;;;;;;
18;60;1;19;71;34;;;;;;;;;;;;;;
19;61;1;20;71;35;;;;;;;;;;;;;;
20;62;1;21;71;36;;;;;;;;;;;;;;
21;63;1;22;71;37;;;;;;;;;;;;;;
22;64;1;23;86;39;;;;;;;;;;;;;;
23;65;1;24;73;40;;;;;;;;;;;;;;
24;66;1;25;88;42;;;;;;;;;;;;;;
25;67;2;26;89;43;;;;;;;;;;;;;;
26;69;2;27;79;44;;;;;;;;;;;;;;
27;71;1;28;72;47;;;;;;;;;;;;;;
28;72;3;29;69;48;;;;;;;;;;;;;;
29;75;1;30;74;49;;;;;;;;;;;;;;
30;76;1;31;75;50;;;;;;;;;;;;;;
31;77;1;32;76;51;;;;;;;;;;;;;;
32;78;1;33;77;52;;;;;;;;;;;;;;
33;79;1;34;78;53;;;;;;;;;;;;;;
34;80;3;35;80;54;;;;;;;;;;;;;;
35;83;1;36;82;55;;;;;;;;;;;;;;
36;84;1;37;84;56;;;;;;;;;;;;;;
37;85;1;38;87;57;;;;;;;;;;;;;;
38;86;2;39;90;58;;;;;;;;;;;;;;
39;88;1;40;2;16;;;;;;;;;;;;;;
40;89;1;41;3;16;;;;;;;;;;;;;;
41;90;1;42;4;12;;;;;;;;;;;;;;
42;91;1;43;-1;44;;;;;;;;;;;;;;
43;92;1;44;6;1;;;;;;;;;;;;;;
44;93;3;45;7;4;;;;;;;;;;;;;;
45;96;1;46;11;20;;;;;;;;;;;;;;
46;97;1;47;8;5;;;;;;;;;;;;;;
47;98;1;48;9;14;;;;;;;;;;;;;;
48;99;3;49;10;1;;;;;;;;;;;;;;
49;102;1;50;-2;44;;;;;;;;;;;;;;
50;103;1;51;12;16;;;;;;;;;;;;;;
51;104;1;52;-3;38;;;;;;;;;;;;;;
52;105;1;53;-3;45;;;;;;;;;;;;;;
53;106;1;54;14;14;;;;;;;;;;;;;;
54;107;1;55;19;20;;;;;;;;;;;;;;
55;108;3;56;15;21;;;;;;;;;;;;;;
56;111;1;57;16;5;;;;;;;;;;;;;;
57;112;4;58;17;19;;;;;;;;;;;;;;
58;116;1;59;18;16;;;;;;;;;;;;;;
59;117;3;60;-4;44;;;;;;;;;;;;;;
60;120;1;61;20;3;;;;;;;;;;;;;;
61;121;1;62;21;19;;;;;;;;;;;;;;
62;122;3;63;22;9;;;;;;;;;;;;;;
63;125;1;64;23;2;;;;;;;;;;;;;;
64;126;1;65;24;9;;;;;;;;;;;;;;
65;127;1;66;25;19;;;;;;;;;;;;;;
66;128;1;67;-5;38;;;;;;;;;;;;;;
67;129;1;68;-5;39;;;;;;;;;;;;;;
68;130;3;69;91;1;;;;;;;;;;;;;;
69;133;27;70;27;9;;;;;;;;;;;;;;
70;160;41;71;28;14;;;;;;;;;;;;;;
71;201;14;72;-6;38;;;;;;;;;;;;;;
72;215;39;73;-6;45;;;;;;;;;;;;;;
73;254;39;74;-6;46;;;;;;;;;;;;;;
74;293;2;75;30;14;;;;;;;;;;;;;;
75;295;12;76;31;9;;;;;;;;;;;;;;
76;307;2;77;32;3;;;;;;;;;;;;;;
77;309;2;78;33;9;;;;;;;;;;;;;;
78;311;2;79;34;16;;;;;;;;;;;;;;
79;313;2;80;-7;38;;;;;;;;;;;;;;
80;315;3;81;-7;45;;;;;;;;;;;;;;
81;318;2;82;-7;46;;;;;;;;;;;;;;
82;320;3;83;36;5;;;;;;;;;;;;;;
83;323;2;84;37;5;;;;;;;;;;;;;;
84;325;3;85;38;19;;;;;;;;;;;;;;
85;328;2;86;-8;38;;;;;;;;;;;;;;
86;330;2;87;-8;39;;;;;;;;;;;;;;
87;332;2;88;40;17;;;;;;;;;;;;;;
88;334;2;89;41;3;;;;;;;;;;;;;;
89;336;2;90;42;9;;;;;;;;;;;;;;
90;338;2;91;43;16;;;;;;;;;;;;;;
